"u:0","u:1","u:2","Points:0","Points:1","Points:2"
-0.0018628,0.021717,0,0.04224,0.039107,0
-0.002139,0.022276,0,0.04272,0.039542,0
-0.0024261,0.022843,0,0.0432,0.039976,0
-0.0027247,0.023415,0,0.04368,0.04041,0
-0.003035,0.023994,0,0.04416,0.040845,0
-0.0033576,0.024579,0,0.04464,0.041279,0
-0.0036929,0.025168,0,0.04512,0.041714,0
-0.0040418,0.025762,0,0.0456,0.042148,0
-0.0044052,0.02636,0,0.04608,0.042582,0
-0.0047844,0.026961,0,0.04656,0.043017,0
-0.0051823,0.027563,0,0.04704,0.043451,0
-0.0056024,0.028166,0,0.04752,0.043886,0
-0.0060421,0.028767,0,0.048,0.04432,0
0,0,0,0,0.00132,0
2.2772e-05,4.6369e-05,0,0.00048,0.0017516,0
4.6801e-05,9.6878e-05,0,0.00096,0.0021832,0
7.2279e-05,0.00015094,0,0.00144,0.0026148,0
9.9316e-05,0.00020791,0,0.00192,0.0030464,0
0.000128,0.00026726,0,0.0024,0.003478,0
0.00015841,0.00032857,0,0.00288,0.0039096,0
0.00019064,0.00039155,0,0.00336,0.0043412,0
0.00022475,0.00045598,0,0.00384,0.0047728,0
0.0002608,0.00052173,0,0.00432,0.0052044,0
0.00029886,0.00058874,0,0.0048,0.005636,0
0.00033894,0.000657,0,0.00528,0.0060676,0
0.00038108,0.00072655,0,0.00576,0.0064992,0
0.00042528,0.00079746,0,0.00624,0.0069308,0
0.00047151,0.00086985,0,0.00672,0.0073624,0
0.00051976,0.00094384,0,0.0072,0.007794,0
0.00056996,0.0010196,0,0.00768,0.0082256,0
0.00062207,0.0010973,0,0.00816,0.0086572,0
0.00067599,0.0011772,0,0.00864,0.0090888,0
0.00073163,0.0012595,0,0.00912,0.0095204,0
0.00078888,0.0013443,0,0.0096,0.009952,0
0.00084761,0.001432,0,0.01008,0.010384,0
0.00090769,0.0015227,0,0.01056,0.010815,0
0.00096898,0.0016166,0,0.01104,0.011247,0
0.0010313,0.0017142,0,0.01152,0.011678,0
0.0010945,0.0018155,0,0.012,0.01211,0
0.0011583,0.0019208,0,0.01248,0.012542,0
0.0012227,0.0020303,0,0.01296,0.012973,0
0.0012873,0.0021444,0,0.01344,0.013405,0
0.0013521,0.0022632,0,0.01392,0.013836,0
0.0014167,0.0023869,0,0.0144,0.014268,0
0.0014809,0.0025158,0,0.01488,0.0147,0
0.0015446,0.00265,0,0.01536,0.015131,0
0.0016074,0.0027899,0,0.01584,0.015563,0
0.0016692,0.0029355,0,0.01632,0.015994,0
0.0017298,0.0030871,0,0.0168,0.016426,0
0.0017888,0.0032448,0,0.01728,0.016858,0
0.0018461,0.0034089,0,0.01776,0.017289,0
0.0019014,0.0035794,0,0.01824,0.017721,0
0.0019545,0.0037565,0,0.01872,0.018152,0
0.0020051,0.0039404,0,0.0192,0.018584,0
0.002053,0.0041312,0,0.01968,0.019016,0
0.002098,0.004329,0,0.02016,0.019447,0
0.0021398,0.0045339,0,0.02064,0.019879,0
0.0021783,0.004746,0,0.02112,0.02031,0
0.0022132,0.0049654,0,0.0216,0.020742,0
0.0022443,0.0051922,0,0.02208,0.021174,0
0.0022713,0.0054265,0,0.02256,0.021605,0
0.0022942,0.0056683,0,0.02304,0.022037,0
0.0023126,0.0059176,0,0.02352,0.022468,0
0.0023264,0.0061746,0,0.024,0.0229,0
0.0023355,0.0064392,0,0.02448,0.023332,0
0.0023395,0.0067116,0,0.02496,0.023763,0
0.0023385,0.0069917,0,0.02544,0.024195,0
0.0023321,0.0072795,0,0.02592,0.024626,0
0.0023203,0.0075752,0,0.0264,0.025058,0
0.0023028,0.0078786,0,0.02688,0.02549,0
0.0022796,0.0081898,0,0.02736,0.025921,0
0.0022504,0.0085089,0,0.02784,0.026353,0
0.0022152,0.0088358,0,0.02832,0.026784,0
0.0021738,0.0091706,0,0.0288,0.027216,0
0.0021261,0.0095132,0,0.02928,0.027648,0
0.002072,0.0098637,0,0.02976,0.028079,0
0.0020112,0.010222,0,0.03024,0.028511,0
0.0019438,0.010588,0,0.03072,0.028942,0
0.0018696,0.010962,0,0.0312,0.029374,0
0.0017884,0.011344,0,0.03168,0.029806,0
0.0017002,0.011734,0,0.03216,0.030237,0
0.0016048,0.012132,0,0.03264,0.030669,0
0.0015021,0.012538,0,0.03312,0.0311,0
0.001392,0.012951,0,0.0336,0.031532,0
0.0012744,0.013373,0,0.03408,0.031964,0
0.0011492,0.013802,0,0.03456,0.032395,0
0.0010162,0.014239,0,0.03504,0.032827,0
0.00087536,0.014684,0,0.03552,0.033258,0
0.00072648,0.015137,0,0.036,0.03369,0
0.00056945,0.015598,0,0.03648,0.034122,0
0.00040415,0.016067,0,0.03696,0.034553,0
0.00023042,0.016544,0,0.03744,0.034985,0
4.8123e-05,0.017028,0,0.03792,0.035416,0
-0.0001429,0.01752,0,0.0384,0.035848,0
-0.00034281,0.018021,0,0.03888,0.03628,0
-0.00055178,0.018528,0,0.03936,0.036711,0
-0.00076999,0.019044,0,0.03984,0.037143,0
-0.00099763,0.019567,0,0.04032,0.037574,0
-0.0012349,0.020097,0,0.0408,0.038006,0
-0.0014821,0.020635,0,0.04128,0.038438,0
-0.0017393,0.021181,0,0.04176,0.038869,0
-0.002007,0.021733,0,0.04224,0.039301,0
-0.0022852,0.022292,0,0.04272,0.039732,0
-0.0025745,0.022858,0,0.0432,0.040164,0
-0.0028751,0.02343,0,0.04368,0.040596,0
-0.0031874,0.024008,0,0.04416,0.041027,0
-0.003512,0.024592,0,0.04464,0.041459,0
-0.0038493,0.025181,0,0.04512,0.04189,0
-0.0042002,0.025774,0,0.0456,0.042322,0
-0.0045656,0.026371,0,0.04608,0.042754,0
-0.0049473,0.026971,0,0.04656,0.043185,0
-0.0053477,0.027573,0,0.04704,0.043617,0
-0.0057685,0.028176,0,0.04752,0.044048,0
-0.0062031,0.028775,0,0.048,0.04448,0
0,0,0,0,0.00176,0
2.4369e-05,4.9377e-05,0,0.00048,0.0021888,0
4.9815e-05,0.00010205,0,0.00096,0.0026176,0
7.6571e-05,0.00015767,0,0.00144,0.0030464,0
0.00010481,0.0002158,0,0.00192,0.0034752,0
0.00013465,0.00027603,0,0.0024,0.003904,0
0.00016622,0.00033802,0,0.00288,0.0043328,0
0.00019959,0.00040155,0,0.00336,0.0047616,0
0.00023484,0.00046643,0,0.00384,0.0051904,0
0.00027204,0.00053258,0,0.00432,0.0056192,0
0.00031121,0.00059994,0,0.0048,0.006048,0
0.0003524,0.00066852,0,0.00528,0.0064768,0
0.00039559,0.00073838,0,0.00576,0.0069056,0
0.00044079,0.0008096,0,0.00624,0.0073344,0
0.00048797,0.00088229,0,0.00672,0.0077632,0
0.00053708,0.0009566,0,0.0072,0.008192,0
0.00058806,0.0010327,0,0.00768,0.0086208,0
0.00064084,0.0011108,0,0.00816,0.0090496,0
0.00069533,0.001191,0,0.00864,0.0094784,0
0.00075143,0.0012736,0,0.00912,0.0099072,0
0.00080901,0.0013588,0,0.0096,0.010336,0
0.00086795,0.0014468,0,0.01008,0.010765,0
0.0009281,0.0015379,0,0.01056,0.011194,0
0.00098931,0.0016323,0,0.01104,0.011622,0
0.0010514,0.0017302,0,0.01152,0.012051,0
0.0011142,0.001832,0,0.012,0.01248,0
0.0011776,0.0019377,0,0.01248,0.012909,0
0.0012412,0.0020477,0,0.01296,0.013338,0
0.0013051,0.0021622,0,0.01344,0.013766,0
0.0013688,0.0022814,0,0.01392,0.014195,0
0.0014323,0.0024055,0,0.0144,0.014624,0
0.0014952,0.0025348,0,0.01488,0.015053,0
0.0015574,0.0026695,0,0.01536,0.015482,0
0.0016187,0.0028097,0,0.01584,0.01591,0
0.0016788,0.0029558,0,0.01632,0.016339,0
0.0017375,0.0031077,0,0.0168,0.016768,0
0.0017945,0.0032659,0,0.01728,0.017197,0
0.0018496,0.0034303,0,0.01776,0.017626,0
0.0019027,0.0036011,0,0.01824,0.018054,0
0.0019534,0.0037786,0,0.01872,0.018483,0
0.0020015,0.0039628,0,0.0192,0.018912,0
0.0020468,0.0041539,0,0.01968,0.019341,0
0.0020891,0.0043519,0,0.02016,0.01977,0
0.0021282,0.0045571,0,0.02064,0.020198,0
0.0021638,0.0047694,0,0.02112,0.020627,0
0.0021957,0.0049891,0,0.0216,0.021056,0
0.0022237,0.005216,0,0.02208,0.021485,0
0.0022477,0.0054505,0,0.02256,0.021914,0
0.0022674,0.0056924,0,0.02304,0.022342,0
0.0022826,0.0059419,0,0.02352,0.022771,0
0.0022932,0.0061989,0,0.024,0.0232,0
0.0022989,0.0064636,0,0.02448,0.023629,0
0.0022997,0.006736,0,0.02496,0.024058,0
0.0022953,0.0070161,0,0.02544,0.024486,0
0.0022855,0.007304,0,0.02592,0.024915,0
0.0022703,0.0075996,0,0.0264,0.025344,0
0.0022495,0.007903,0,0.02688,0.025773,0
0.0022229,0.0082142,0,0.02736,0.026202,0
0.0021904,0.0085332,0,0.02784,0.02663,0
0.0021518,0.00886,0,0.02832,0.027059,0
0.002107,0.0091947,0,0.0288,0.027488,0
0.002056,0.0095371,0,0.02928,0.027917,0
0.0019985,0.0098875,0,0.02976,0.028346,0
0.0019345,0.010246,0,0.03024,0.028774,0
0.0018638,0.010612,0,0.03072,0.029203,0
0.0017863,0.010986,0,0.0312,0.029632,0
0.001702,0.011367,0,0.03168,0.030061,0
0.0016106,0.011757,0,0.03216,0.03049,0
0.0015121,0.012155,0,0.03264,0.030918,0
0.0014063,0.01256,0,0.03312,0.031347,0
0.0012932,0.012973,0,0.0336,0.031776,0
0.0011726,0.013394,0,0.03408,0.032205,0
0.0010444,0.013824,0,0.03456,0.032634,0
0.00090856,0.014261,0,0.03504,0.033062,0
0.00076483,0.014705,0,0.03552,0.033491,0
0.00061313,0.015158,0,0.036,0.03392,0
0.00045335,0.015619,0,0.03648,0.034349,0
0.00028533,0.016087,0,0.03696,0.034778,0
0.00010894,0.016564,0,0.03744,0.035206,0
-7.5968e-05,0.017048,0,0.03792,0.035635,0
